POST   /v1/customer/customer-organizations/options/batch  |  Get customer organization options by IDs  |  [customer] Customer Options
POST   /v1/iam/dashboard/ticket/count-stats  |  Get comprehensive ticket count statistics  |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/department-count  |  Get ticket counts by department  |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/organization/average-resolution-time  |  Get average resolution time statistics by organization   |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/sla-achieved  |  Get SLA achievement statistics by department  |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/topic-count  |  Get ticket counts by topic  |  [iam] IAM Staff Dashboard
POST   /v1/iam/dashboard/ticket/trend  |  Get ticket count trend over time  |  [iam] IAM Staff Dashboard
POST   /v1/iam/report/extend/data-entry  |  Get data entry report with configurable field aggregations  |  [iam] Staff Ticket Report
POST   /v1/iam/report/extend/data-entry/export  |  Export data entry report to Excel  |  [iam] Staff Ticket Report
POST   /v1/iam/report/staff/work-status  |  Get staff work status data  |  [iam] Staff Ticket Report
POST   /v1/iam/report/staff/work-status/export  |  Export staff work status data to Excel  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/activity  |  Get ticket activity statistics  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/activity/export  |  Export ticket activity statistics to Excel  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/sla  |  Get ticket SLA and AHT statistics  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/sla/export  |  Export ticket SLA and AHT statistics to Excel  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/sla/new  |  Get new ticket SLA and AHT statistics  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/sla/new/export  |  Export new ticket SLA and AHT statistics to Excel  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/status  |  Get ticket status statistics  |  [iam] Staff Ticket Report
POST   /v1/iam/report/ticket/status/export  |  Export ticket status statistics to Excel  |  [iam] Staff Ticket Report
POST   /v1/iam/tickets  |  Create a ticket  |  [iam] Ticket API
GET    /v1/iam/tickets/brief/{id}  |  Get ticket brief info  |  [iam] Ticket API
POST   /v1/iam/tickets/filter/{ticketId}  |  Handler Ticket Filter  |  [iam] Ticket API
POST   /v1/iam/tickets/list-with-first-message  |  List tickets with first message  |  [iam] Ticket API
POST   /v1/iam/tickets/messages  |  Page messages  |  [iam] Ticket API
POST   /v1/iam/tickets/page  |  Page tickets  |  [iam] Ticket API
POST   /v1/iam/tickets/search  |  Search tickets  |  [iam] Ticket API
PUT    /v1/iam/tickets/{id}  |  Partial update a ticket  |  [iam] Ticket API
POST   /v1/iam/tickets/{id}/messages  |  Page ticket messages  |  [iam] Ticket API
POST   /v1/iam/tickets/{id}/reply  |  Reply to a ticket  |  [iam] Ticket API
GET    /v1/iam/tickets/{ticketId}/form-entries  |  Get ticket form entries  |  [iam] Ticket API
PUT    /v1/iam/tickets/{ticketId}/form-entries  |  Update ticket form entries  |  [iam] Ticket API
POST   /v1/iam/extend/roster/guessing  |  -  |  [iam] iam-extend-roster-controller
POST   /v1/iam/extend/roster/page  |  -  |  [iam] iam-extend-roster-controller
GET    /v1/iam/extend/roster/{id}  |  -  |  [iam] iam-extend-roster-controller
POST   /v1/open/attachments  |  -  |  [open] Attachment API
POST   /v1/open/attachments/images  |  Upload image attachment  |  [open] Attachment API
POST   /v1/open/departments/options/batch  |  -  |  [open] Department API
POST   /v1/open/departments/page  |  -  |  [open] Department API
GET    /v1/open/departments/{id}/schedule  |  -  |  [open] Department API
GET    /v1/open/enums  |  Get all enums  |  [open] Enum Management
GET    /v1/open/files/{fileId}  |  -  |  [open] File API
GET    /v1/open/forms/topic/{topicId}  |  -  |  [open] Form API
POST   /v1/open/hrm-sync/test  |  Test HRM employee sync (Local Only)  |  [open] HRM Test
POST   /v1/open/hrm-sync/test-create-teams  |  Test Team creation workflow (Local Only)  |  [open] HRM Test
POST   /v1/open/customers/password/reset  |  Request password reset  |  [open] Open Customer APIs
POST   /v1/open/customer-organizations/page  |  Query customer organizations with pagination  |  [open] Open Customer Organization APIs
GET    /v1/open/customer-organizations/{id}  |  Get customer organization by ID  |  [open] Open Customer Organization APIs
GET    /v1/open/tenants/{id}  |  Get tenant by ID  |  [open] Open Tenant API
GET    /v1/open/surveys/{token}  |  -  |  [open] Survey API
POST   /v1/open/surveys/{token}/rating  |  -  |  [open] Survey API
POST   /v1/open/tickets  |  -  |  [open] Ticket API
POST   /v1/open/tickets/link  |  -  |  [open] Ticket API
GET    /v1/open/tickets/number/{ticketNumber}  |  -  |  [open] Ticket API
POST   /v1/open/tickets/number/{ticketNumber}/timeline  |  -  |  [open] Ticket API
POST   /v1/open/ticket/display-statuses/options/batch  |  Get display status options by IDs  |  [open] Ticket Display Status API
POST   /v1/open/ticket/display-statuses/page  |  Query ticket display statuses with pagination  |  [open] Ticket Display Status API
POST   /v1/open/ticket/priorities/options/batch  |  Get priority options by IDs  |  [open] Ticket Priority API
POST   /v1/open/ticket/priorities/page  |  Query ticket priorities with pagination  |  [open] Ticket Priority API
POST   /v1/open/topics/options/batch  |  -  |  [open] Topic API
POST   /v1/open/topics/page  |  -  |  [open] Topic API
GET    /v1/open/configs/system  |  -  |  [open] open-config-controller
GET    /v1/open/test  |  -  |  [open] test-controller
POST   /v1/open/test/activity  |  -  |  [open] test-controller
GET    /v1/open/test/agent/business-hours  |  -  |  [open] test-controller
POST   /v1/open/test/extend/data-entry  |  -  |  [open] test-controller
GET    /v1/open/test/form-entries  |  -  |  [open] test-controller
POST   /v1/open/test/notification/publish/in-app  |  -  |  [open] test-controller
POST   /v1/open/test/notification/publish/system  |  -  |  [open] test-controller
POST   /v1/open/test/search  |  -  |  [open] test-controller
POST   /v1/open/test/sla-aht  |  -  |  [open] test-controller
POST   /v1/open/test/staff-work-status  |  -  |  [open] test-controller
POST   /v1/open/test/staff/productive/report  |  -  |  [open] test-controller
POST   /v1/open/test/status  |  -  |  [open] test-controller
GET    /v1/open/test/survey/send  |  Test survey email send  |  [open] test-controller
GET    /v1/open/test/ticket/count  |  -  |  [open] test-controller
POST   /v1/open/test/ticket/number/{ticketNumber}/simulate-email  |  -  |  [open] test-controller
POST   /v1/open/test/ticket/{ticketId}/simulate-email  |  -  |  [open] test-controller
GET    /v1/open/test/websocket/stats  |  Get WebSocket statistics  |  [open] test-controller
POST   /v1/open/test/workflow/start  |  -  |  [open] test-controller
POST   /v1/open/test/{ticketId}/print  |  -  |  [open] test-controller
POST   /v1/staff/ai/agents  |  Create AI agent  |  [staff] AI Agent Management
GET    /v1/staff/ai/agents/built-in-tools  |  Get built-in tools  |  [staff] AI Agent Management
GET    /v1/staff/ai/agents/llm-info  |  Get LLM information  |  [staff] AI Agent Management
POST   /v1/staff/ai/agents/options/batch  |  Get AI agent options by IDs  |  [staff] AI Agent Management
POST   /v1/staff/ai/agents/page  |  Page query AI agents  |  [staff] AI Agent Management
GET    /v1/staff/ai/agents/{id}  |  Get AI agent by ID  |  [staff] AI Agent Management
PUT    /v1/staff/ai/agents/{id}  |  Update AI agent  |  [staff] AI Agent Management
DELETE /v1/staff/ai-assistant/departments/{departmentId}/assistant-agent  |  Unbind assistant agent  |  [staff] AI Assistant Agent Department Binding
PUT    /v1/staff/ai-assistant/departments/{departmentId}/assistant-agent  |  Bind assistant agent  |  [staff] AI Assistant Agent Department Binding
GET    /v1/staff/ai-assistant/agents  |  List assistant agents  |  [staff] AI Assistant Agent Registry
POST   /v1/staff/ai-assistant/agents  |  Create assistant agent  |  [staff] AI Assistant Agent Registry
POST   /v1/staff/ai-assistant/agents/validate  |  Validate assistant agent baseUrl  |  [staff] AI Assistant Agent Registry
DELETE /v1/staff/ai-assistant/agents/{code}  |  Delete assistant agent  |  [staff] AI Assistant Agent Registry
PUT    /v1/staff/ai-assistant/agents/{code}  |  Update assistant agent  |  [staff] AI Assistant Agent Registry
POST   /v1/staff/ai-dashboard/accuracy-trend  |  Get AI accuracy trend over time  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/agent-stats  |  Get AI Agent statistics  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/ai-coverage-trend  |  Get AI coverage trend over time  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/assistant-stats  |  Get AI Assistant statistics  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/involved-tickets-trend  |  Get involved tickets trend over time  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/message-processes/page  |  -  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/metrics/summary  |  Query metrics summary  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/metrics/time-series  |  Query metrics time series  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/overview  |  Get AI Dashboard overview statistics  |  [staff] AI Dashboard
POST   /v1/staff/ai-dashboard/stats  |  Get AI Dashboard statistics  |  [staff] AI Dashboard
POST   /v1/staff/api-keys  |  Create API key  |  [staff] API Key Management
POST   /v1/staff/api-keys/page  |  Page query API keys  |  [staff] API Key Management
DELETE /v1/staff/api-keys/{id}  |  Delete API key  |  [staff] API Key Management
GET    /v1/staff/api-keys/{id}  |  Get API key by ID  |  [staff] API Key Management
PUT    /v1/staff/api-keys/{id}  |  Update API key  |  [staff] API Key Management
POST   /v1/staff/attachment-index/add-tag  |  AI auto-tag attachments  |  [staff] Attachment Index and Document Management Center
POST   /v1/staff/attachment-index/export  |  Export attachment index to Excel  |  [staff] Attachment Index and Document Management Center
POST   /v1/staff/attachment-index/page  |  Page query attachment index  |  [staff] Attachment Index and Document Management Center
POST   /v1/staff/attachment-index/updateAttachment  |  updateAttachment  |  [staff] Attachment Index and Document Management Center
GET    /v1/staff/attachment-index/{attachmentId}  |  Get attachment detail  |  [staff] Attachment Index and Document Management Center
POST   /v1/staff/admin/attendance-records  |  手动创建考勤记录  |  [staff] Attendance Admin
POST   /v1/staff/audit-logs/page  |  Query audit logs with pagination  |  [staff] Audit Logs
POST   /v1/staff/audit-logs/scan  |  Scan audit annotations  |  [staff] Audit Logs
POST   /v1/staff/auto-assign/history/page  |  Get auto assign history  |  [staff] Auto Assign Rule
POST   /v1/staff/auto-assign/rule  |  Create a auto assign rule  |  [staff] Auto Assign Rule
PUT    /v1/staff/auto-assign/rule  |  Update a auto assign rule  |  [staff] Auto Assign Rule
POST   /v1/staff/auto-assign/rule/page  |  Page query auto assign rules  |  [staff] Auto Assign Rule
PUT    /v1/staff/auto-assign/rule/status  |  Update auto assign rule status only  |  [staff] Auto Assign Rule
DELETE /v1/staff/auto-assign/rule/{id}  |  Delete a auto assign rule  |  [staff] Auto Assign Rule
POST   /v1/staff/auto-assign/workload/page  |  Query staff workload  |  [staff] Auto Assign Rule
GET    /v1/staff/csv-test/check-header-mapping  |  检查表头映射  |  [staff] CSV测试
GET    /v1/staff/csv-test/parse-first-record  |  测试第一条记录解析  |  [staff] CSV测试
GET    /v1/staff/csv-test/parse-headers  |  测试CSV表头解析  |  [staff] CSV测试
GET    /v1/staff/session-staff/active  |  Get active sessions  |  [staff] Chat Session Management
POST   /v1/staff/session-staff/assign  |  Assign session  |  [staff] Chat Session Management
GET    /v1/staff/session-staff/chat/token  |  Get chat platform token  |  [staff] Chat Session Management
POST   /v1/staff/session-staff/close  |  Close chat session  |  [staff] Chat Session Management
POST   /v1/staff/session-staff/history/page  |  Page query session history  |  [staff] Chat Session Management
POST   /v1/staff/session-staff/page  |  Page query sessions  |  [staff] Chat Session Management
POST   /v1/staff/session-staff/start  |  Start chat session  |  [staff] Chat Session Management
POST   /v1/staff/session-staff/upload/file  |  Upload file  |  [staff] Chat Session Management
GET    /v1/staff/session-staff/{sessionId}  |  Get session by ID  |  [staff] Chat Session Management
GET    /v1/staff/configs/variables/{type}  |  List template variables  |  [staff] Configuration Management
GET    /v1/staff/configs/{namespace}  |  List config items  |  [staff] Configuration Management
PUT    /v1/staff/configs/{namespace}/batch  |  Batch update config items  |  [staff] Configuration Management
DELETE /v1/staff/configs/{namespace}/{key}  |  Delete config item  |  [staff] Configuration Management
GET    /v1/staff/configs/{namespace}/{key}  |  Get config item  |  [staff] Configuration Management
PUT    /v1/staff/configs/{namespace}/{key}  |  Update config item  |  [staff] Configuration Management
POST   /v1/staff/departments  |  Create department  |  [staff] Department Management
POST   /v1/staff/departments/options/batch  |  Get department options  |  [staff] Department Management
POST   /v1/staff/departments/page  |  Query departments  |  [staff] Department Management
DELETE /v1/staff/departments/{departmentId}/members  |  Remove department members  |  [staff] Department Management
POST   /v1/staff/departments/{departmentId}/members  |  Add department members  |  [staff] Department Management
GET    /v1/staff/departments/{id}  |  Get department by ID  |  [staff] Department Management
PUT    /v1/staff/departments/{id}  |  Update department  |  [staff] Department Management
POST   /v1/staff/email-banlists  |  Create email banlist entry  |  [staff] Email Banlist Management
POST   /v1/staff/email-banlists/page  |  Page query email banlist  |  [staff] Email Banlist Management
DELETE /v1/staff/email-banlists/{id}  |  Delete email banlist entry  |  [staff] Email Banlist Management
GET    /v1/staff/email-banlists/{id}  |  Get email banlist entry by ID  |  [staff] Email Banlist Management
PUT    /v1/staff/email-banlists/{id}  |  Update email banlist entry  |  [staff] Email Banlist Management
POST   /v1/staff/emails  |  Create email configuration  |  [staff] Email Configuration
POST   /v1/staff/emails/authenticate  |  Authenticate email  |  [staff] Email Configuration
POST   /v1/staff/emails/options/batch  |  Get email options by IDs  |  [staff] Email Configuration
POST   /v1/staff/emails/page  |  Page query emails  |  [staff] Email Configuration
GET    /v1/staff/emails/{id}  |  Get email by ID  |  [staff] Email Configuration
PUT    /v1/staff/emails/{id}  |  Update email configuration  |  [staff] Email Configuration
PUT    /v1/staff/form-entries/{id}  |  Update form entry  |  [staff] Form Entry Management
PUT    /v1/staff/form-entry-values  |  Update form entry value  |  [staff] Form Entry Value Management
POST   /v1/staff/forms  |  Create form  |  [staff] Form Management
GET    /v1/staff/forms/field/{fieldId}  |  Get form field  |  [staff] Form Management
POST   /v1/staff/forms/options/batch  |  Get form options by IDs  |  [staff] Form Management
POST   /v1/staff/forms/page  |  Page query forms  |  [staff] Form Management
GET    /v1/staff/forms/topic/{topicId}  |  Get forms by topic  |  [staff] Form Management
GET    /v1/staff/forms/{id}  |  Get form by ID  |  [staff] Form Management
PUT    /v1/staff/forms/{id}  |  Update form  |  [staff] Form Management
POST   /v1/staff/hr-org-managers  |  Create organization manager  |  [staff] HR Organization Managers
GET    /v1/staff/hr-org-managers/active-relation  |  Get active manager relation  |  [staff] HR Organization Managers
POST   /v1/staff/hr-org-managers/batch  |  Batch create or update managers  |  [staff] HR Organization Managers
GET    /v1/staff/hr-org-managers/check-exists  |  Check manager relationship exists  |  [staff] HR Organization Managers
POST   /v1/staff/hr-org-managers/list  |  List organization managers  |  [staff] HR Organization Managers
GET    /v1/staff/hr-org-managers/org-unit/{orgUnitId}  |  Get managers by organization unit  |  [staff] HR Organization Managers
GET    /v1/staff/hr-org-managers/org-unit/{orgUnitId}/effective-on  |  Get managers effective on date  |  [staff] HR Organization Managers
PUT    /v1/staff/hr-org-managers/org-unit/{orgUnitId}/expire-all  |  Expire all managers for organization unit  |  [staff] HR Organization Managers
POST   /v1/staff/hr-org-managers/page  |  Page query organization managers  |  [staff] HR Organization Managers
GET    /v1/staff/hr-org-managers/staff/{staffId}  |  Get managers by staff  |  [staff] HR Organization Managers
PUT    /v1/staff/hr-org-managers/staff/{staffId}/expire-all  |  Expire all managers for staff  |  [staff] HR Organization Managers
DELETE /v1/staff/hr-org-managers/{id}  |  Delete organization manager  |  [staff] HR Organization Managers
GET    /v1/staff/hr-org-managers/{id}  |  Get organization manager by ID  |  [staff] HR Organization Managers
PUT    /v1/staff/hr-org-managers/{id}  |  Update organization manager  |  [staff] HR Organization Managers
PUT    /v1/staff/hr-org-managers/{id}/expire  |  Expire organization manager  |  [staff] HR Organization Managers
POST   /v1/staff/hr-org-units  |  Create organization unit  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/active  |  Get all active organization units  |  [staff] HR Organization Unit Management
POST   /v1/staff/hr-org-units/by-codes  |  Get organization units by codes  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/check-code  |  Check if code is available  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/check-name  |  Check if name is available  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/count  |  Get organization unit count  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/count/{unitType}  |  Get organization unit count by type  |  [staff] HR Organization Unit Management
POST   /v1/staff/hr-org-units/descendants  |  Get organizations with descendants  |  [staff] HR Organization Unit Management
POST   /v1/staff/hr-org-units/options  |  Get organization unit options  |  [staff] HR Organization Unit Management
POST   /v1/staff/hr-org-units/page  |  Page query organization units  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/parent/{parentId}/children  |  Get children by parent ID  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/roots  |  Get root organization units  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/tree  |  Get organization tree  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/tree/{rootId}  |  Get organization tree from root  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/type/{unitType}  |  Get organization units by type  |  [staff] HR Organization Unit Management
DELETE /v1/staff/hr-org-units/{id}  |  Delete organization unit  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/{id}  |  Get organization unit detail  |  [staff] HR Organization Unit Management
PUT    /v1/staff/hr-org-units/{id}  |  Update organization unit  |  [staff] HR Organization Unit Management
PUT    /v1/staff/hr-org-units/{id}/activate  |  Activate organization unit  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/{id}/ancestors  |  Get ancestors  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/{id}/basic  |  Get organization unit basic info  |  [staff] HR Organization Unit Management
PUT    /v1/staff/hr-org-units/{id}/deactivate  |  Deactivate organization unit  |  [staff] HR Organization Unit Management
GET    /v1/staff/hr-org-units/{id}/descendants  |  Get descendants  |  [staff] HR Organization Unit Management
PUT    /v1/staff/hr-org-units/{id}/move  |  Move organization unit  |  [staff] HR Organization Unit Management
POST   /v1/staff/admin/hrm-batch-sync/create-teams  |  Create supervisor Teams  |  [staff] HRM Batch Sync
POST   /v1/staff/admin/hrm-batch-sync/sync  |  Sync HRM employees  |  [staff] HRM Batch Sync
POST   /v1/staff/admin/hrm-batch-sync/sync-complete  |  Complete supervisor Team sync  |  [staff] HRM Batch Sync
POST   /v1/staff/admin/hrm-batch-sync/update-hr-department  |  Update employee hrDepartmentId  |  [staff] HRM Batch Sync
POST   /v1/staff/admin/hrm-batch-sync/update-supervisor-ids  |  Update supervisor IDs  |  [staff] HRM Batch Sync
POST   /v1/staff/admin/hrm-kafka/pause  |  Pause Kafka consumer  |  [staff] HRM Kafka Control
POST   /v1/staff/admin/hrm-kafka/reset-offset  |  Reset consumer group offset to beginning  |  [staff] HRM Kafka Control
POST   /v1/staff/admin/hrm-kafka/resume  |  Resume Kafka consumer  |  [staff] HRM Kafka Control
GET    /v1/staff/admin/hrm-kafka/status  |  Get Kafka consumer status  |  [staff] HRM Kafka Control
GET    /v1/staff/admin/kafka/consumers  |  List all Kafka consumers  |  [staff] Kafka Admin
GET    /v1/staff/admin/kafka/consumers/{containerId}/exists  |  Check if Kafka consumer exists  |  [staff] Kafka Admin
POST   /v1/staff/admin/kafka/consumers/{containerId}/pause  |  Pause Kafka consumer  |  [staff] Kafka Admin
POST   /v1/staff/admin/kafka/consumers/{containerId}/reset-offset  |  Reset consumer group offset to beginning  |  [staff] Kafka Admin
POST   /v1/staff/admin/kafka/consumers/{containerId}/resume  |  Resume Kafka consumer  |  [staff] Kafka Admin
GET    /v1/staff/admin/kafka/consumers/{containerId}/status  |  Get Kafka consumer status  |  [staff] Kafka Admin
POST   /v1/staff/leave-balances  |  Create leave balance  |  [staff] Leave Balance Management
DELETE /v1/staff/leave-balances/batch  |  Batch delete leave balances  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/batch  |  Get leave balances by IDs  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/batch-update  |  Batch update used minutes  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/export  |  Export leave balances to Excel  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/import  |  Import leave balances from Excel  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/import-template  |  Download leave balance import template  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/initialize  |  Initialize staff balances  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/low-balance  |  Get low balance records  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/me/all-types-with-balances/{period}  |  Get all leave types with balances  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/me/period/{period}  |  Get my balances  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/page  |  Page query leave balances  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/release  |  Release leave minutes  |  [staff] Leave Balance Management
POST   /v1/staff/leave-balances/reserve  |  Reserve leave minutes  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/staff/{staffId}/period/{period}  |  Get balances by staff and period  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/staff/{staffId}/type/{leaveTypeId}/period/{period}  |  Get balance by staff, type and period  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/staff/{staffId}/type/{leaveTypeId}/period/{period}/check  |  Check balance availability  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/staff/{staffId}/type/{leaveTypeId}/period/{period}/remaining  |  Get remaining balance  |  [staff] Leave Balance Management
DELETE /v1/staff/leave-balances/{id}  |  Delete leave balance  |  [staff] Leave Balance Management
GET    /v1/staff/leave-balances/{id}  |  Get leave balance  |  [staff] Leave Balance Management
PUT    /v1/staff/leave-balances/{id}  |  Update leave balance  |  [staff] Leave Balance Management
POST   /v1/staff/leave/data-fix/execute  |  Fix Historical Leave Data  |  [staff] Leave Data Fix
GET    /v1/staff/leave/data-fix/preview  |  Preview Leave Data Fix  |  [staff] Leave Data Fix
POST   /v1/staff/leave/data-fix/recalculate  |  Recalculate All Leave Balances  |  [staff] Leave Data Fix
GET    /v1/staff/leave/data-fix/recalculate/preview  |  Preview Leave Balance Recalculation  |  [staff] Leave Data Fix
POST   /v1/staff/leave/migration/execute  |  Execute Leave Migration  |  [staff] Leave Migration Management
GET    /v1/staff/leave/migration/status  |  Get Migration Status  |  [staff] Leave Migration Management
GET    /v1/staff/leave/balance  |  查询假期余额  |  [staff] Leave Request Management
POST   /v1/staff/leave/requests/export  |  导出请假记录  |  [staff] Leave Request Management
POST   /v1/staff/leave/requests/list  |  列表查询请假记录  |  [staff] Leave Request Management
POST   /v1/staff/leave/requests/page  |  分页查询请假记录  |  [staff] Leave Request Management
POST   /v1/staff/leave/requests/preview  |  Preview Leave Impact  |  [staff] Leave Request Management
GET    /v1/staff/leave/requests/{id}  |  Get Leave Request  |  [staff] Leave Request Management
GET    /v1/staff/leave/requests/{id}/approval-history  |  获取请假审批历史  |  [staff] Leave Request Management
PUT    /v1/staff/leave/requests/{id}/cancel  |  撤销请假申请  |  [staff] Leave Request Management
POST   /v1/staff/leave/revoke/requests  |  Submit leave revoke request  |  [staff] Leave Revoke Request Management
POST   /v1/staff/leave/revoke/requests/list  |  List leave revoke requests  |  [staff] Leave Revoke Request Management
POST   /v1/staff/leave/revoke/requests/page  |  Page query leave revoke requests  |  [staff] Leave Revoke Request Management
GET    /v1/staff/leave/revoke/requests/{id}  |  Get leave revoke request detail  |  [staff] Leave Revoke Request Management
POST   /v1/staff/leave/revoke/requests/{id}/cancel  |  Cancel leave revoke request  |  [staff] Leave Revoke Request Management
POST   /v1/staff/leave-types  |  Create leave type  |  [staff] Leave Type Management
DELETE /v1/staff/leave-types/batch  |  Batch delete leave types  |  [staff] Leave Type Management
POST   /v1/staff/leave-types/batch  |  Get leave types by IDs  |  [staff] Leave Type Management
GET    /v1/staff/leave-types/code/{code}  |  Get leave type by code  |  [staff] Leave Type Management
GET    /v1/staff/leave-types/exists/code/{code}  |  Check code existence  |  [staff] Leave Type Management
GET    /v1/staff/leave-types/options  |  Get all options  |  [staff] Leave Type Management
POST   /v1/staff/leave-types/options/batch  |  Get options by IDs  |  [staff] Leave Type Management
